,Brand,model,Year,Age,kmDriven,Transmission,Owner,FuelType,Price
0,Toyota,Innova,2009.0,15.0,190000.0,Manual,second,Diesel,375000.0
1,Volkswagen,VentoTest,2010.0,14.0,77246.0,Manual,first,Diesel,184999.0
2,Maruti Suzuki,Swift,2017.0,7.0,83500.0,Manual,second,Diesel,565000.0
3,Maruti Suzuki,Baleno,2019.0,5.0,45000.0,Automatic,first,Petrol,685000.0
4,BMW,X3,2014.0,10.0,83000.0,Automatic,first,Diesel,1350000.0
5,Toyota,Innova,2014.0,10.0,168000.0,Manual,second,Diesel,1025000.0
6,Maruti Suzuki,maruti-suzuki-dzire,2020.0,4.0,33759.0,Manual,second,Petrol,622000.0
7,Ford,Ecosport,2017.0,7.0,69713.0,Manual,second,Petrol,649000.0
8,Maruti Suzuki,Alto-K10,2018.0,6.0,70000.0,Automatic,first,Petrol,395000.0
9,Maruti Suzuki,Swift-Dzire,2012.0,12.0,72700.0,Manual,second,Petrol,240000.0
10,Toyota,Corolla,2007.0,17.0,121931.0,Automatic,second,Petrol,201350.0
11,Hyundai,Xcent,2018.0,6.0,130000.0,Manual,second,Diesel,330000.0
12,Kia,Seltos,2020.0,4.0,68000.0,Manual,first,Diesel,1045000.0
13,Maruti Suzuki,Ertiga,2016.0,8.0,65000.0,Manual,second,Diesel,785000.0
14,Maruti Suzuki,Ertiga,2017.0,7.0,59000.0,Automatic,second,Petrol,555000.0
15,BMW,3 Series GT,2015.0,9.0,61000.0,Automatic,second,Diesel,1500000.0
16,Toyota,Innova Crysta,2017.0,7.0,107000.0,Automatic,first,Diesel,1325000.0
17,Honda,City,2010.0,14.0,99000.0,Manual,first,Petrol,295000.0
18,Audi,A3,2015.0,9.0,42000.0,Automatic,second,Diesel,1050000.0
19,Renault,KWID,2019.0,5.0,48073.0,Automatic,second,Petrol,355000.0
20,MG,Hector,2019.0,5.0,32618.0,Automatic,first,Petrol,1250000.0
21,Maruti Suzuki,Swift-Dzire,2012.0,12.0,70000.0,Manual,second,Diesel,315000.0
22,Maruti Suzuki,Celerio,2014.0,10.0,51000.0,Automatic,second,Petrol,345000.0
23,Maruti Suzuki,Vitara-Brezza,2018.0,6.0,137000.0,Manual,first,Diesel,845000.0
24,Toyota,Innova Crysta,2017.0,7.0,90000.0,Manual,second,Diesel,1950000.0
25,Toyota,Innova,2011.0,13.0,84000.0,Manual,second,Diesel,490000.0
26,Hyundai,Venue,2021.0,3.0,17000.0,Manual,first,Petrol,685000.0
27,Maruti Suzuki,Ertiga,2018.0,6.0,70000.0,Manual,second,Petrol,749000.0
28,Hyundai,Creta,2023.0,1.0,5000.0,Automatic,first,Petrol,1600000.0
29,Hyundai,Alcazar,2022.0,2.0,47110.0,Manual,second,Diesel,1695000.0
